age,workclass,education,education-num,marital-status,occupation,relationship,race
67,?,Preschool,9,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo
74,Self-emp-not-inc,HS-grad,1,Married-spouse-absent,Protective-serv,Other-relative,Black
67,Private,HS-grad,3,Separated,Other-service,Not-in-family,Black
62,Private,Prof-school,11,Widowed,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo
35,Local-gov,Assoc-voc,4,Married-spouse-absent,Sales,Not-in-family,Black
41,Never-worked,Masters,8,Widowed,Protective-serv,Unmarried,Other
58,Self-emp-inc,Bachelors,16,Separated,Adm-clerical,Not-in-family,Black
23,State-gov,11th,3,Married-civ-spouse,Tech-support,Husband,Black
46,Local-gov,Assoc-acdm,6,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander
29,Never-worked,Some-college,11,Widowed,Farming-fishing,Other-relative,Black
67,?,Preschool,2,Married-civ-spouse,Farming-fishing,Wife,Black
35,Never-worked,7th-8th,8,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander
34,Private,Some-college,10,Separated,Protective-serv,Own-child,Asian-Pac-Islander
54,Never-worked,Masters,14,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo
36,Private,Some-college,15,Separated,Protective-serv,Own-child,Amer-Indian-Eskimo
39,Self-emp-not-inc,7th-8th,6,Married-spouse-absent,Machine-op-inspct,Wife,Asian-Pac-Islander
68,Without-pay,5th-6th,8,Married-AF-spouse,Priv-house-serv,Own-child,Amer-Indian-Eskimo
67,Without-pay,HS-grad,11,Married-spouse-absent,Craft-repair,Other-relative,Asian-Pac-Islander
23,Local-gov,Prof-school,8,Never-married,Adm-clerical,Other-relative,Amer-Indian-Eskimo
40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo
36,Without-pay,12th,5,Never-married,Sales,Wife,Amer-Indian-Eskimo
53,Self-emp-not-inc,1st-4th,16,Widowed,Protective-serv,Other-relative,Amer-Indian-Eskimo
39,?,5th-6th,7,Widowed,Tech-support,Unmarried,Black
57,Self-emp-inc,Preschool,14,Married-civ-spouse,Farming-fishing,Unmarried,Asian-Pac-Islander
31,Private,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander
44,Local-gov,5th-6th,5,Married-spouse-absent,Adm-clerical,Own-child,Amer-Indian-Eskimo
29,Local-gov,HS-grad,7,Separated,?,Wife,Black
36,Self-emp-inc,Some-college,13,Married-spouse-absent,Armed-Forces,Wife,Black
18,Without-pay,5th-6th,9,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo
69,State-gov,Preschool,9,Never-married,Farming-fishing,Not-in-family,Black
56,Never-worked,Bachelors,6,Divorced,Handlers-cleaners,Unmarried,Other
74,Local-gov,5th-6th,15,Married-AF-spouse,?,Other-relative,Black
56,Local-gov,Masters,8,Married-spouse-absent,Handlers-cleaners,Own-child,Amer-Indian-Eskimo
26,State-gov,Some-college,16,Widowed,Tech-support,Other-relative,Asian-Pac-Islander
19,Self-emp-inc,Prof-school,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander
74,State-gov,Masters,3,Married-civ-spouse,Transport-moving,Unmarried,White
83,Without-pay,9th,4,Married-civ-spouse,Transport-moving,Own-child,Amer-Indian-Eskimo
63,Self-emp-inc,Masters,1,Never-married,Other-service,Not-in-family,Black
48,Never-worked,1st-4th,14,Separated,Farming-fishing,Not-in-family,Other
60,Federal-gov,5th-6th,8,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander
54,Self-emp-inc,Assoc-acdm,9,Married-spouse-absent,Sales,Unmarried,White
63,Local-gov,Assoc-voc,3,Divorced,Machine-op-inspct,Husband,Black
20,?,Assoc-acdm,7,Separated,Priv-house-serv,Unmarried,White
56,Self-emp-not-inc,7th-8th,14,Separated,Other-service,Unmarried,Asian-Pac-Islander
23,State-gov,7th-8th,12,Married-civ-spouse,Armed-Forces,Unmarried,Black
66,Federal-gov,Assoc-voc,6,Married-spouse-absent,Armed-Forces,Husband,Black
31,State-gov,Prof-school,8,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo
28,State-gov,Preschool,12,Widowed,Priv-house-serv,Husband,Asian-Pac-Islander
76,Federal-gov,1st-4th,15,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander
41,Federal-gov,Masters,7,Married-civ-spouse,Adm-clerical,Not-in-family,White
27,?,Preschool,8,Divorced,Sales,Unmarried,Black
30,Never-worked,Some-college,11,Married-AF-spouse,Handlers-cleaners,Husband,Other
23,Never-worked,Masters,9,Married-civ-spouse,Tech-support,Husband,White
57,Local-gov,5th-6th,16,Married-spouse-absent,Other-service,Own-child,Other
87,Local-gov,10th,1,Separated,Tech-support,Own-child,Other
33,Without-pay,5th-6th,11,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander
53,Local-gov,Preschool,10,Married-civ-spouse,Prof-specialty,Unmarried,Black
46,State-gov,Assoc-voc,14,Separated,Machine-op-inspct,Other-relative,Black
53,Without-pay,5th-6th,13,Divorced,Transport-moving,Husband,Black
28,Without-pay,Assoc-acdm,10,Divorced,Prof-specialty,Other-relative,Other
69,Never-worked,Assoc-acdm,1,Divorced,Armed-Forces,Not-in-family,Black
69,Never-worked,Assoc-voc,4,Divorced,Prof-specialty,Not-in-family,Black
28,Self-emp-inc,9th,3,Divorced,Sales,Wife,White
30,Local-gov,1st-4th,2,Married-spouse-absent,Tech-support,Other-relative,Amer-Indian-Eskimo
50,Federal-gov,Some-college,3,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo
50,Private,Prof-school,8,Separated,Craft-repair,Not-in-family,Asian-Pac-Islander
56,Self-emp-inc,Bachelors,13,Married-civ-spouse,Adm-clerical,Own-child,White
68,Self-emp-inc,HS-grad,1,Widowed,Armed-Forces,Not-in-family,Black
36,Self-emp-not-inc,Masters,2,Married-civ-spouse,Adm-clerical,Not-in-family,White
79,Without-pay,Assoc-acdm,12,Married-AF-spouse,Sales,Husband,Black
48,Local-gov,Preschool,13,Married-civ-spouse,Tech-support,Unmarried,Asian-Pac-Islander
45,Never-worked,Assoc-acdm,8,Married-civ-spouse,?,Not-in-family,Asian-Pac-Islander
44,Local-gov,Prof-school,12,Never-married,Transport-moving,Unmarried,White
39,Federal-gov,Preschool,9,Divorced,Exec-managerial,Not-in-family,Other
76,Without-pay,Masters,15,Widowed,Armed-Forces,Not-in-family,Asian-Pac-Islander
72,Never-worked,11th,11,Married-spouse-absent,Handlers-cleaners,Unmarried,Other
47,?,10th,5,Divorced,?,Not-in-family,Amer-Indian-Eskimo
28,?,Bachelors,6,Widowed,Prof-specialty,Husband,Other
