age,workclass,education,education-num,marital-status,occupation,relationship,race
45,?,9th,2,Married-spouse-absent,Handlers-cleaners,Own-child,Black
31,State-gov,Doctorate,6,Married-spouse-absent,Craft-repair,Not-in-family,Black
40,State-gov,Some-college,7,Married-spouse-absent,Exec-managerial,Unmarried,Amer-Indian-Eskimo
52,Federal-gov,11th,13,Separated,Other-service,Husband,Black
62,Never-worked,Some-college,15,Divorced,?,Not-in-family,Asian-Pac-Islander
62,State-gov,12th,13,Married-civ-spouse,Adm-clerical,Unmarried,Other
79,Never-worked,Preschool,6,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander
62,Local-gov,Assoc-voc,2,Widowed,Craft-repair,Husband,Other
48,?,5th-6th,15,Separated,Machine-op-inspct,Other-relative,White
36,?,Doctorate,14,Separated,Priv-house-serv,Not-in-family,White
21,Private,1st-4th,3,Married-civ-spouse,Other-service,Unmarried,Other
36,Self-emp-not-inc,Doctorate,15,Married-civ-spouse,?,Other-relative,Amer-Indian-Eskimo
55,Never-worked,Prof-school,4,Married-civ-spouse,?,Wife,Black
43,Private,HS-grad,2,Separated,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo
80,Never-worked,Prof-school,5,Widowed,Transport-moving,Unmarried,Other
63,Local-gov,Assoc-acdm,1,Married-AF-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo
53,Local-gov,11th,2,Separated,Other-service,Wife,Asian-Pac-Islander
78,Local-gov,9th,9,Married-spouse-absent,Handlers-cleaners,Own-child,Black
26,?,7th-8th,8,Divorced,Adm-clerical,Husband,White
25,Self-emp-inc,Masters,6,Divorced,Protective-serv,Other-relative,White
72,Without-pay,10th,13,Married-civ-spouse,?,Husband,Other
55,Federal-gov,11th,1,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander
55,Federal-gov,Some-college,3,Married-civ-spouse,Armed-Forces,Own-child,Other
82,Self-emp-inc,11th,11,Married-AF-spouse,Armed-Forces,Wife,White
40,State-gov,9th,16,Never-married,Protective-serv,Not-in-family,Black
71,Never-worked,10th,9,Married-spouse-absent,Machine-op-inspct,Husband,Asian-Pac-Islander
77,Self-emp-not-inc,12th,4,Married-AF-spouse,Adm-clerical,Other-relative,Amer-Indian-Eskimo
27,Federal-gov,Prof-school,6,Married-civ-spouse,Craft-repair,Other-relative,Other
37,Without-pay,HS-grad,5,Married-AF-spouse,Adm-clerical,Not-in-family,Black
21,Self-emp-inc,7th-8th,8,Married-civ-spouse,Adm-clerical,Unmarried,Other
23,Private,Assoc-acdm,10,Never-married,Adm-clerical,Own-child,White
24,Never-worked,Bachelors,5,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo
38,State-gov,Some-college,13,Married-spouse-absent,Handlers-cleaners,Husband,Other
74,Self-emp-not-inc,10th,12,Married-spouse-absent,Transport-moving,Other-relative,Black
52,Without-pay,7th-8th,16,Separated,Priv-house-serv,Own-child,Black
75,Never-worked,11th,16,Married-civ-spouse,Protective-serv,Wife,Other
25,Self-emp-inc,12th,2,Married-spouse-absent,Sales,Wife,White
63,Local-gov,Preschool,15,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander
53,Local-gov,5th-6th,6,Married-AF-spouse,Handlers-cleaners,Other-relative,Other
36,Self-emp-not-inc,Masters,13,Widowed,Other-service,Own-child,Other
56,Without-pay,12th,15,Never-married,Protective-serv,Own-child,Black
75,Without-pay,Preschool,6,Married-AF-spouse,Handlers-cleaners,Wife,Amer-Indian-Eskimo
46,?,Masters,10,Separated,Handlers-cleaners,Wife,Asian-Pac-Islander
52,Private,Masters,15,Married-civ-spouse,Other-service,Own-child,Black
71,?,5th-6th,13,Married-spouse-absent,Farming-fishing,Own-child,Black
77,Local-gov,Some-college,7,Never-married,Machine-op-inspct,Husband,Black
77,Private,1st-4th,11,Separated,Machine-op-inspct,Wife,Asian-Pac-Islander
54,Never-worked,Masters,9,Widowed,Craft-repair,Husband,White
64,Without-pay,9th,2,Married-civ-spouse,?,Other-relative,White
85,Self-emp-inc,Assoc-voc,8,Married-civ-spouse,Armed-Forces,Own-child,Black
