age,workclass,education,education-num,marital-status,occupation,relationship,race
59,?,7th-8th,9,Married-civ-spouse,Sales,Unmarried,White
50,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Other-relative,White
69,Private,5th-6th,11,Married-civ-spouse,Tech-support,Husband,White
18,Private,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White
65,State-gov,HS-grad,14,Divorced,Farming-fishing,Own-child,White
44,Private,HS-grad,14,Never-married,Prof-specialty,Husband,White
67,?,Masters,9,Never-married,Machine-op-inspct,Not-in-family,White
32,Private,Some-college,11,Never-married,Handlers-cleaners,Own-child,White
67,Self-emp-not-inc,Assoc-voc,7,Married-civ-spouse,?,Husband,White
61,Private,Some-college,16,Married-civ-spouse,Handlers-cleaners,Not-in-family,White
28,Self-emp-inc,Bachelors,10,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander
48,State-gov,5th-6th,9,Married-civ-spouse,Craft-repair,Not-in-family,White
69,Private,Doctorate,13,Married-civ-spouse,Other-service,Unmarried,Amer-Indian-Eskimo
41,Private,HS-grad,10,Never-married,Transport-moving,Unmarried,White
48,Private,HS-grad,15,Married-spouse-absent,Machine-op-inspct,Not-in-family,White
53,Private,12th,8,Married-civ-spouse,Prof-specialty,Husband,White
28,?,HS-grad,6,Married-civ-spouse,Adm-clerical,Husband,Other
78,Self-emp-not-inc,Bachelors,9,Married-civ-spouse,Adm-clerical,Unmarried,White
21,Private,Bachelors,10,Divorced,Exec-managerial,Husband,White
37,Self-emp-inc,Masters,9,Never-married,Farming-fishing,Not-in-family,White
77,Self-emp-inc,HS-grad,13,Never-married,Craft-repair,Husband,White
69,Private,HS-grad,10,Never-married,?,Unmarried,White
34,Private,Masters,9,Married-civ-spouse,Other-service,Own-child,White
24,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
25,Private,Masters,11,Married-civ-spouse,?,Husband,White
43,Private,Doctorate,7,Never-married,Adm-clerical,Other-relative,White
55,Local-gov,Some-college,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
46,Private,Masters,13,Divorced,Sales,Husband,White
24,Self-emp-inc,Some-college,10,Never-married,Machine-op-inspct,Husband,White
50,Private,Assoc-voc,9,Separated,Other-service,Not-in-family,White
25,Private,Masters,7,Married-civ-spouse,Exec-managerial,Husband,White
30,Self-emp-not-inc,HS-grad,9,Never-married,Tech-support,Not-in-family,White
57,Private,9th,9,Married-civ-spouse,Craft-repair,Own-child,White
47,Private,Masters,12,Married-civ-spouse,Sales,Not-in-family,Black
