age,workclass,education,education-num,marital-status,occupation,relationship,race
46,Private,Masters,9,Married-civ-spouse,Tech-support,Own-child,Amer-Indian-Eskimo
45,?,Some-college,9,Never-married,Craft-repair,Husband,White
20,Local-gov,Masters,5,Never-married,Craft-repair,Unmarried,White
52,State-gov,Some-college,14,Divorced,Machine-op-inspct,Unmarried,White
27,Private,Assoc-voc,14,Never-married,Sales,Husband,White
52,Private,5th-6th,6,Married-civ-spouse,Machine-op-inspct,Husband,White
33,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White
29,Private,HS-grad,10,Divorced,Farming-fishing,Husband,White
42,Private,Doctorate,8,Married-civ-spouse,Adm-clerical,Husband,White
34,Private,HS-grad,9,Divorced,Prof-specialty,Husband,White
49,Federal-gov,HS-grad,3,Divorced,Transport-moving,Own-child,White
24,Private,Masters,9,Married-civ-spouse,Prof-specialty,Unmarried,White
31,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White
45,Private,Some-college,3,Never-married,Craft-repair,Not-in-family,White
29,Private,Some-college,13,Never-married,Machine-op-inspct,Husband,White
46,Private,HS-grad,10,Divorced,Handlers-cleaners,Not-in-family,White
31,Federal-gov,HS-grad,10,Never-married,Sales,Not-in-family,Black
35,Private,Some-college,16,Married-civ-spouse,Sales,Not-in-family,Black
47,Private,HS-grad,14,Never-married,Craft-repair,Husband,White
27,Private,Bachelors,10,Married-civ-spouse,Craft-repair,Not-in-family,White
30,Private,Some-college,9,Divorced,Craft-repair,Husband,White
36,Private,Bachelors,13,Never-married,Sales,Husband,White
57,Private,HS-grad,10,Never-married,Exec-managerial,Not-in-family,Black
52,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White
47,?,10th,4,Divorced,Other-service,Wife,White
30,Local-gov,Some-college,9,Divorced,Sales,Not-in-family,White
57,Private,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White
59,Private,Some-college,9,Never-married,Sales,Husband,White
45,Private,Some-college,9,Never-married,Adm-clerical,Husband,White
39,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White
33,Self-emp-not-inc,HS-grad,8,Never-married,Adm-clerical,Husband,White
46,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black
47,Federal-gov,Bachelors,13,Married-civ-spouse,Other-service,Husband,White
42,Private,10th,3,Divorced,Exec-managerial,Husband,White
40,Self-emp-not-inc,Prof-school,10,Married-civ-spouse,Exec-managerial,Husband,White
49,Private,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White
28,Private,Masters,10,Married-civ-spouse,Handlers-cleaners,Own-child,White
34,Private,HS-grad,14,Never-married,Craft-repair,Unmarried,White
45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Own-child,White
36,Federal-gov,Bachelors,7,Married-civ-spouse,Exec-managerial,Own-child,White
46,Private,Masters,9,Divorced,Prof-specialty,Not-in-family,White
22,Private,HS-grad,13,Never-married,Prof-specialty,Unmarried,White
34,Federal-gov,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,Black
50,Private,HS-grad,13,Never-married,Prof-specialty,Husband,White
32,Private,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,White
33,Self-emp-not-inc,5th-6th,9,Married-civ-spouse,Machine-op-inspct,Husband,Black
24,Private,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Not-in-family,White
33,Private,Some-college,9,Never-married,Other-service,Own-child,White
43,Private,Bachelors,12,Never-married,Adm-clerical,Not-in-family,White
44,Self-emp-inc,Assoc-acdm,13,Divorced,Handlers-cleaners,Husband,White
28,Private,7th-8th,14,Married-civ-spouse,Machine-op-inspct,Husband,White
30,Private,Some-college,4,Never-married,Adm-clerical,Husband,White
39,State-gov,HS-grad,9,Never-married,Adm-clerical,Husband,White
26,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,White
52,Private,Bachelors,10,Divorced,Transport-moving,Unmarried,Asian-Pac-Islander
25,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,White
67,State-gov,HS-grad,12,Married-civ-spouse,Sales,Husband,White
45,?,Bachelors,9,Never-married,Machine-op-inspct,Unmarried,White
20,Private,Some-college,10,Never-married,Prof-specialty,Husband,White
51,Self-emp-not-inc,Some-college,9,Never-married,Farming-fishing,Own-child,White
36,Self-emp-inc,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,Black
22,Private,HS-grad,6,Never-married,Other-service,Husband,White
45,Private,HS-grad,10,Married-civ-spouse,Exec-managerial,Wife,White
23,Private,Some-college,9,Married-civ-spouse,Transport-moving,Husband,White
46,Private,Bachelors,14,Never-married,Craft-repair,Husband,White
