age,workclass,education,education-num,marital-status,occupation,relationship,race
37,Self-emp-inc,Some-college,9,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo
73,Never-worked,Assoc-voc,6,Married-AF-spouse,Machine-op-inspct,Own-child,Other
18,Self-emp-not-inc,Masters,3,Never-married,Transport-moving,Wife,Asian-Pac-Islander
53,Never-worked,Some-college,12,Married-AF-spouse,Machine-op-inspct,Other-relative,Black
42,Local-gov,HS-grad,11,Married-civ-spouse,Machine-op-inspct,Other-relative,Black
29,?,Bachelors,11,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander
54,Never-worked,Masters,4,Married-AF-spouse,Adm-clerical,Unmarried,Black
21,Never-worked,HS-grad,12,Never-married,Transport-moving,Other-relative,Black
19,Self-emp-not-inc,Assoc-acdm,8,Separated,?,Not-in-family,Amer-Indian-Eskimo
50,Private,Assoc-acdm,15,Separated,?,Own-child,Black
57,State-gov,Some-college,2,Married-AF-spouse,?,Own-child,White
62,?,HS-grad,3,Married-AF-spouse,Adm-clerical,Own-child,White
54,?,HS-grad,13,Never-married,Handlers-cleaners,Unmarried,Other
86,Self-emp-not-inc,Some-college,14,Married-spouse-absent,Priv-house-serv,Unmarried,Asian-Pac-Islander
86,Never-worked,Assoc-voc,14,Never-married,Exec-managerial,Other-relative,Black
32,Without-pay,Masters,10,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander
65,State-gov,10th,1,Divorced,Tech-support,Own-child,Black
22,State-gov,Assoc-voc,13,Divorced,Other-service,Husband,Asian-Pac-Islander
50,Private,Doctorate,15,Widowed,Farming-fishing,Own-child,Asian-Pac-Islander
58,Never-worked,Prof-school,10,Separated,Transport-moving,Other-relative,Amer-Indian-Eskimo
62,?,Some-college,6,Married-AF-spouse,Priv-house-serv,Wife,White
27,Self-emp-not-inc,9th,16,Married-AF-spouse,Prof-specialty,Not-in-family,Other
73,Never-worked,Assoc-voc,7,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander
42,?,5th-6th,4,Married-AF-spouse,Prof-specialty,Wife,Black
23,Local-gov,5th-6th,1,Married-civ-spouse,Protective-serv,Unmarried,White
79,?,HS-grad,13,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo
29,Local-gov,Doctorate,13,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander
52,Local-gov,11th,8,Married-civ-spouse,Sales,Own-child,White
66,Federal-gov,10th,5,Divorced,Exec-managerial,Other-relative,Other
63,Local-gov,Masters,16,Married-AF-spouse,Prof-specialty,Not-in-family,Other
35,State-gov,Bachelors,8,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander
67,Never-worked,Bachelors,13,Widowed,Craft-repair,Not-in-family,White
61,Local-gov,Bachelors,13,Married-spouse-absent,Armed-Forces,Husband,Asian-Pac-Islander
47,Private,7th-8th,1,Married-spouse-absent,Priv-house-serv,Other-relative,White
86,Local-gov,Assoc-voc,7,Married-AF-spouse,Priv-house-serv,Wife,Asian-Pac-Islander
62,Without-pay,HS-grad,7,Never-married,Adm-clerical,Wife,White
86,Local-gov,HS-grad,14,Never-married,Transport-moving,Unmarried,White
62,Local-gov,Some-college,2,Divorced,Machine-op-inspct,Wife,White
59,Self-emp-not-inc,Assoc-acdm,5,Divorced,Exec-managerial,Other-relative,White
36,Self-emp-inc,Some-college,11,Married-spouse-absent,Armed-Forces,Husband,Asian-Pac-Islander
74,Self-emp-inc,HS-grad,4,Married-civ-spouse,Adm-clerical,Husband,Black
59,Self-emp-inc,5th-6th,2,Separated,?,Unmarried,Black
