age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40,Private,132716,Bachelors,10,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
50,Private,159604,Some-college,10,Separated,Exec-managerial,Unmarried,White,Male,0,0,80,United-States,<=50K
50,?,116163,HS-grad,10,Never-married,Transport-moving,Husband,White,Male,0,0,70,United-States,<=50K
53,?,183620,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,60,United-States,>50K
40,Private,110669,Bachelors,9,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,20,Canada,<=50K
20,Private,193260,HS-grad,13,Married-civ-spouse,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
34,Private,149422,11th,13,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,>50K
37,?,197200,HS-grad,9,Never-married,Adm-clerical,Wife,White,Male,5013,0,42,United-States,<=50K
24,Private,203924,Assoc-voc,13,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
23,Private,186830,Some-college,11,Separated,Transport-moving,Husband,White,Male,0,0,40,Philippines,<=50K
50,Self-emp-not-inc,391121,HS-grad,9,Divorced,Sales,Husband,White,Female,0,0,40,United-States,<=50K
23,Private,116279,Bachelors,9,Never-married,?,Not-in-family,White,Female,0,2392,38,United-States,<=50K
46,Private,159938,Prof-school,6,Never-married,Other-service,Own-child,White,Male,2414,0,40,Mexico,>50K
60,Private,227466,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
33,Private,346253,Assoc-voc,9,Separated,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,124827,HS-grad,13,Divorced,?,Wife,White,Male,99999,0,40,United-States,<=50K
23,Private,65087,12th,9,Never-married,Tech-support,Husband,White,Male,0,0,20,United-States,>50K
27,Private,54310,HS-grad,13,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,50,?,<=50K
64,Private,207789,Bachelors,9,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Male,0,0,35,United-States,<=50K
27,Self-emp-not-inc,255575,Some-college,14,Never-married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,107548,Some-college,10,Never-married,Handlers-cleaners,Husband,White,Male,0,1887,40,United-States,<=50K
56,Private,279340,Assoc-acdm,13,Divorced,Other-service,Other-relative,White,Male,0,0,42,United-States,<=50K
41,Self-emp-not-inc,112627,Bachelors,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,El-Salvador,<=50K
23,Private,53063,Assoc-voc,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,20,United-States,>50K
50,?,203279,HS-grad,14,Never-married,Tech-support,Not-in-family,White,Female,0,0,70,United-States,<=50K
18,Private,185459,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
19,Private,168837,HS-grad,9,Married-civ-spouse,?,Not-in-family,White,Female,0,1408,50,United-States,<=50K
