age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,State-gov,344804,Bachelors,10,Divorced,Other-service,Not-in-family,White,Female,0,0,72,United-States,<=50K
24,Private,37314,Some-college,14,Never-married,Craft-repair,Not-in-family,White,Male,0,0,20,United-States,<=50K
29,Private,249078,Some-college,13,Separated,Adm-clerical,Unmarried,White,Female,99999,0,70,United-States,<=50K
18,Private,256173,9th,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Self-emp-not-inc,242984,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1974,50,United-States,>50K
27,Federal-gov,75867,Some-college,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,<=50K
23,Self-emp-not-inc,430175,HS-grad,13,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,United-States,<=50K
24,Private,116986,Assoc-voc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Mexico,>50K
23,Private,48280,Masters,4,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
34,Self-emp-inc,358668,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
44,Private,112561,Some-college,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
56,?,293936,Bachelors,9,Widowed,?,Not-in-family,White,Female,0,0,96,United-States,<=50K
64,State-gov,321117,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,23,United-States,<=50K
55,Private,235849,Preschool,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,54,Thailand,>50K
30,Without-pay,106406,Some-college,9,Married-spouse-absent,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
40,?,260594,Bachelors,9,Married-civ-spouse,?,Husband,Other,Male,0,0,60,United-States,<=50K
